Année,Poste de dépense,Montant (euros)
2021,Développements code.etalab.gouv.fr,30000
2021,Animation de la communauté BlueHats,10000
2021,"Adhésion au ""Software Heritage sponsor group""",25000
2021,Adhésion à l'ADULLACT,20000
2021,Total TTC 2021,85000
2022,Animation de la communauté BlueHats,20000
2022,"Adhésion au ""Software Heritage sponsor group""",25000
2022,Adhésion à l'ADULLACT,20000
2022,Adhésion à OW2,5000
2022,BlueHats Semester of Code,66000
2022,Total TTC 2022,136000
2023,Développements algorithmes publics,45000
2023,"Adhésion au ""Software Heritage sponsor group""",25000
2023,Adhésion à l'ADULLACT,20000
2023,"Coûts d'infrastructure (hébergement, etc.)",2500
2023,Animation de la communauté BlueHats,10000
2023,Développements code.gouv.fr/sill,40000
2023,Développements code.gouv.fr/sources,30800
2023,Total TTC 2023,172500
2024,"Coûts d'infrastructure (hébergement, etc.)",5000
2024,"Adhésion au ""Software Heritage sponsor group""",25000
2024,Développements sur l'application web SILL,40000
2024,Animation de la communauté BlueHats,60000
2024,Adhésion à l'ADULLACT,10000
2024,Soutien à l'utilisation du SILL (en cours),30000
2024,Total TTC 2024,170000
